2022-11-13 12:55:29,683 INFO    MainThread:12900 [wandb_setup.py:_flush():68] Configure stats pid to 12900
2022-11-13 12:55:29,684 INFO    MainThread:12900 [wandb_setup.py:_flush():68] Loading settings from C:\Users\vince\.config\wandb\settings
2022-11-13 12:55:29,684 INFO    MainThread:12900 [wandb_setup.py:_flush():68] Loading settings from C:\Users\vince\Desktop\workplace\CQL\CQL-SAC-discrete\wandb\settings
2022-11-13 12:55:29,684 INFO    MainThread:12900 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-13 12:55:29,684 INFO    MainThread:12900 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2022-11-13 12:55:29,686 INFO    MainThread:12900 [wandb_setup.py:_flush():68] Applying login settings: {'mode': 'offline'}
2022-11-13 12:55:29,686 INFO    MainThread:12900 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\vince\Desktop\workplace\CQL\CQL-SAC-discrete\wandb\offline-run-20221113_125529-3if5ktlq\logs\debug.log
2022-11-13 12:55:29,686 INFO    MainThread:12900 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\vince\Desktop\workplace\CQL\CQL-SAC-discrete\wandb\offline-run-20221113_125529-3if5ktlq\logs\debug-internal.log
2022-11-13 12:55:29,686 INFO    MainThread:12900 [wandb_init.py:init():516] calling init triggers
2022-11-13 12:55:29,686 INFO    MainThread:12900 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'run_name': 'CQL-SAC-discrete', 'env': 'CartPole-v1', 'episodes': 200, 'buffer_size': 100000, 'seed': 1, 'log_video': 0, 'save_every': 100, 'batch_size': 256}
2022-11-13 12:55:29,686 INFO    MainThread:12900 [wandb_init.py:init():569] starting backend
2022-11-13 12:55:29,686 INFO    MainThread:12900 [wandb_init.py:init():573] setting up manager
2022-11-13 12:55:29,692 INFO    MainThread:12900 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2022-11-13 12:55:29,695 INFO    MainThread:12900 [wandb_init.py:init():580] backend started and connected
2022-11-13 12:55:29,697 INFO    MainThread:12900 [wandb_init.py:init():658] updated telemetry
2022-11-13 12:55:29,698 INFO    MainThread:12900 [wandb_init.py:init():728] starting run threads in backend
2022-11-13 12:55:34,717 INFO    MainThread:12900 [wandb_run.py:_console_start():1980] atexit reg
2022-11-13 12:55:34,717 INFO    MainThread:12900 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-13 12:55:34,718 INFO    MainThread:12900 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-13 12:55:34,718 INFO    MainThread:12900 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-13 12:55:34,718 INFO    MainThread:12900 [wandb_init.py:init():765] run started, returning control to user process
2022-11-13 12:55:37,001 INFO    MainThread:12900 [wandb_watch.py:watch():51] Watching
2022-11-13 13:00:49,702 INFO    MainThread:12900 [wandb_run.py:_finish():1746] finishing run CQL/3if5ktlq
2022-11-13 13:00:49,702 INFO    MainThread:12900 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 1
2022-11-13 13:00:49,703 INFO    MainThread:12900 [wandb_run.py:_restore():1932] restore
2022-11-13 13:00:49,703 INFO    MainThread:12900 [wandb_run.py:_restore():1938] restore done
2022-11-13 13:00:50,786 INFO    MainThread:12900 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-13 13:00:50,789 INFO    MainThread:12900 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
