2022-11-13 14:04:39,035 INFO    MainThread:12032 [wandb_setup.py:_flush():68] Configure stats pid to 12032
2022-11-13 14:04:39,036 INFO    MainThread:12032 [wandb_setup.py:_flush():68] Loading settings from C:\Users\vince\.config\wandb\settings
2022-11-13 14:04:39,036 INFO    MainThread:12032 [wandb_setup.py:_flush():68] Loading settings from C:\Users\vince\Desktop\workplace\CQL\CQL-SAC-discrete\wandb\settings
2022-11-13 14:04:39,036 INFO    MainThread:12032 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-13 14:04:39,036 INFO    MainThread:12032 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2022-11-13 14:04:39,038 INFO    MainThread:12032 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\vince\Desktop\workplace\CQL\CQL-SAC-discrete\wandb\run-20221113_140439-7pb4g05t\logs\debug.log
2022-11-13 14:04:39,038 INFO    MainThread:12032 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\vince\Desktop\workplace\CQL\CQL-SAC-discrete\wandb\run-20221113_140439-7pb4g05t\logs\debug-internal.log
2022-11-13 14:04:39,038 INFO    MainThread:12032 [wandb_init.py:init():516] calling init triggers
2022-11-13 14:04:39,038 INFO    MainThread:12032 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'run_name': 'gg', 'env': 'CartPole-v1', 'episodes': 200, 'buffer_size': 100000, 'seed': 1, 'log_video': 0, 'save_every': 100, 'batch_size': 256}
2022-11-13 14:04:39,038 INFO    MainThread:12032 [wandb_init.py:init():569] starting backend
2022-11-13 14:04:39,038 INFO    MainThread:12032 [wandb_init.py:init():573] setting up manager
2022-11-13 14:04:39,043 INFO    MainThread:12032 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2022-11-13 14:04:39,047 INFO    MainThread:12032 [wandb_init.py:init():580] backend started and connected
2022-11-13 14:04:39,048 INFO    MainThread:12032 [wandb_init.py:init():658] updated telemetry
2022-11-13 14:04:39,049 INFO    MainThread:12032 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-13 14:04:39,932 INFO    MainThread:12032 [wandb_run.py:_on_init():2000] communicating current version
2022-11-13 14:04:39,992 INFO    MainThread:12032 [wandb_run.py:_on_init():2004] got version response 
2022-11-13 14:04:39,992 INFO    MainThread:12032 [wandb_init.py:init():728] starting run threads in backend
2022-11-13 14:04:45,020 INFO    MainThread:12032 [wandb_run.py:_console_start():1980] atexit reg
2022-11-13 14:04:45,020 INFO    MainThread:12032 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-13 14:04:45,020 INFO    MainThread:12032 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-13 14:04:45,020 INFO    MainThread:12032 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-13 14:04:45,021 INFO    MainThread:12032 [wandb_init.py:init():765] run started, returning control to user process
2022-11-13 14:04:47,038 INFO    MainThread:12032 [wandb_watch.py:watch():51] Watching
2022-11-13 14:04:51,431 INFO    MainThread:12032 [wandb_run.py:_finish():1746] finishing run 2626/CQL/7pb4g05t
2022-11-13 14:04:51,432 INFO    MainThread:12032 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 1
2022-11-13 14:04:51,432 INFO    MainThread:12032 [wandb_run.py:_restore():1932] restore
2022-11-13 14:04:51,432 INFO    MainThread:12032 [wandb_run.py:_restore():1938] restore done
