C:\Users\vince\anaconda3\lib\site-packages\pyglet\image\codecs\wic.py:406: UserWarning: [WinError -2147417850] 无法在设置线程模式后对其加以更改。
  warnings.warn(str(err))
Episode: 1 | Reward: 16.0 | Polciy Loss: -0.9790120124816895 | Steps: 16
Episode: 2 | Reward: 14.0 | Polciy Loss: -1.8014559745788574 | Steps: 30
Episode: 3 | Reward: 31.0 | Polciy Loss: -2.511201858520508 | Steps: 61
Episode: 4 | Reward: 11.0 | Polciy Loss: -2.607987403869629 | Steps: 72
Episode: 5 | Reward: 29.0 | Polciy Loss: -2.869943618774414 | Steps: 101
Episode: 6 | Reward: 17.0 | Polciy Loss: -3.0537538528442383 | Steps: 118
Episode: 7 | Reward: 11.0 | Polciy Loss: -3.1543750762939453 | Steps: 129
Episode: 8 | Reward: 13.0 | Polciy Loss: -3.3097097873687744 | Steps: 142
Episode: 9 | Reward: 11.0 | Polciy Loss: -3.434647560119629 | Steps: 153
Episode: 10 | Reward: 25.0 | Polciy Loss: -3.7067956924438477 | Steps: 178
Episode: 11 | Reward: 11.0 | Polciy Loss: -3.809467077255249 | Steps: 189
Episode: 12 | Reward: 13.0 | Polciy Loss: -3.965135097503662 | Steps: 202
Episode: 13 | Reward: 22.0 | Polciy Loss: -4.2228288650512695 | Steps: 224
Episode: 14 | Reward: 28.0 | Polciy Loss: -4.60922908782959 | Steps: 252
Episode: 15 | Reward: 47.0 | Polciy Loss: -5.0830769538879395 | Steps: 299
Episode: 16 | Reward: 33.0 | Polciy Loss: -5.563353538513184 | Steps: 332
Episode: 17 | Reward: 14.0 | Polciy Loss: -5.641297340393066 | Steps: 346
Episode: 18 | Reward: 51.0 | Polciy Loss: -6.32262659072876 | Steps: 397
Episode: 19 | Reward: 35.0 | Polciy Loss: -6.679272651672363 | Steps: 432
Episode: 20 | Reward: 18.0 | Polciy Loss: -6.850583553314209 | Steps: 450
Episode: 21 | Reward: 31.0 | Polciy Loss: -7.015171051025391 | Steps: 481
Episode: 22 | Reward: 12.0 | Polciy Loss: -7.3411102294921875 | Steps: 493
Episode: 23 | Reward: 13.0 | Polciy Loss: -7.506782531738281 | Steps: 506
Episode: 24 | Reward: 15.0 | Polciy Loss: -7.457310676574707 | Steps: 521
Episode: 25 | Reward: 14.0 | Polciy Loss: -7.790891647338867 | Steps: 535
Episode: 26 | Reward: 18.0 | Polciy Loss: -7.850307464599609 | Steps: 553
Episode: 27 | Reward: 16.0 | Polciy Loss: -8.028347969055176 | Steps: 569
Episode: 28 | Reward: 42.0 | Polciy Loss: -8.26414680480957 | Steps: 611
Episode: 29 | Reward: 23.0 | Polciy Loss: -8.684715270996094 | Steps: 634
Episode: 30 | Reward: 27.0 | Polciy Loss: -8.858488082885742 | Steps: 661
Episode: 31 | Reward: 10.0 | Polciy Loss: -9.04273796081543 | Steps: 671
Episode: 32 | Reward: 17.0 | Polciy Loss: -9.057440757751465 | Steps: 688
Episode: 33 | Reward: 42.0 | Polciy Loss: -9.888525009155273 | Steps: 730
Episode: 34 | Reward: 39.0 | Polciy Loss: -9.972551345825195 | Steps: 769
Episode: 35 | Reward: 16.0 | Polciy Loss: -9.942649841308594 | Steps: 785
Episode: 36 | Reward: 60.0 | Polciy Loss: -10.738224029541016 | Steps: 845
Episode: 37 | Reward: 78.0 | Polciy Loss: -11.533143043518066 | Steps: 923
Episode: 38 | Reward: 80.0 | Polciy Loss: -12.041308403015137 | Steps: 1003
Episode: 39 | Reward: 124.0 | Polciy Loss: -13.033742904663086 | Steps: 1127
Episode: 40 | Reward: 180.0 | Polciy Loss: -14.58676528930664 | Steps: 1307
Episode: 41 | Reward: 126.0 | Polciy Loss: -15.39312744140625 | Steps: 1433
Episode: 42 | Reward: 215.0 | Polciy Loss: -18.084880828857422 | Steps: 1648
Episode: 43 | Reward: 218.0 | Polciy Loss: -19.712493896484375 | Steps: 1866
Episode: 44 | Reward: 265.0 | Polciy Loss: -21.507713317871094 | Steps: 2131
Episode: 45 | Reward: 207.0 | Polciy Loss: -23.511985778808594 | Steps: 2338
Episode: 46 | Reward: 165.0 | Polciy Loss: -24.894756317138672 | Steps: 2503
Episode: 47 | Reward: 206.0 | Polciy Loss: -26.65545082092285 | Steps: 2709
Episode: 48 | Reward: 193.0 | Polciy Loss: -28.91777229309082 | Steps: 2902
Episode: 49 | Reward: 252.0 | Polciy Loss: -30.78029441833496 | Steps: 3154
