C:\Users\vince\anaconda3\lib\site-packages\pyglet\image\codecs\wic.py:406: UserWarning: [WinError -2147417850] 无法在设置线程模式后对其加以更改。
  warnings.warn(str(err))
Episode: 1 | Reward: -436.6108139718859 | Polciy Loss: -0.06391476094722748 | Steps: 84
Episode: 2 | Reward: -107.59127032386115 | Polciy Loss: 1.1440846920013428 | Steps: 241
Episode: 3 | Reward: -185.82263039238984 | Polciy Loss: 0.8096007704734802 | Steps: 377
Episode: 4 | Reward: -80.34837343439297 | Polciy Loss: 2.522548198699951 | Steps: 483
Episode: 5 | Reward: -392.98567775973305 | Polciy Loss: 3.9099388122558594 | Steps: 656
Episode: 6 | Reward: -134.1001839694497 | Polciy Loss: 2.9741947650909424 | Steps: 749
Episode: 7 | Reward: -118.23511999239157 | Polciy Loss: 6.850302696228027 | Steps: 935
Episode: 8 | Reward: -421.2411971755393 | Polciy Loss: 9.15683364868164 | Steps: 1085
Episode: 9 | Reward: -83.48409079777093 | Polciy Loss: 9.763313293457031 | Steps: 1223
Episode: 10 | Reward: -278.81379648106207 | Polciy Loss: 8.584468841552734 | Steps: 1407
Episode: 11 | Reward: -161.0793783645487 | Polciy Loss: 13.242141723632812 | Steps: 1636
Episode: 12 | Reward: -63.8564954117481 | Polciy Loss: 11.349960327148438 | Steps: 1775
Episode: 13 | Reward: 5.486938027226543 | Polciy Loss: 11.974273681640625 | Steps: 1965
Episode: 14 | Reward: -35.43638981310585 | Polciy Loss: 14.873760223388672 | Steps: 2379
Episode: 15 | Reward: 16.264219494346875 | Polciy Loss: 15.380105972290039 | Steps: 2633
Episode: 16 | Reward: -67.29373960217738 | Polciy Loss: 16.85080337524414 | Steps: 3633
Episode: 17 | Reward: -20.84474459414441 | Polciy Loss: 14.518697738647461 | Steps: 4633
Episode: 18 | Reward: -76.66759325754265 | Polciy Loss: 14.805724143981934 | Steps: 5633
Episode: 19 | Reward: -119.93049691801 | Polciy Loss: 2.1031405925750732 | Steps: 6491
Episode: 20 | Reward: -44.403560109101505 | Polciy Loss: 9.792372703552246 | Steps: 7491
Episode: 21 | Reward: -48.93505623145744 | Polciy Loss: 8.88701057434082 | Steps: 8491
Episode: 22 | Reward: -202.34864533011174 | Polciy Loss: 3.7479915618896484 | Steps: 9435
Episode: 23 | Reward: -14.637198981550231 | Polciy Loss: 6.231650352478027 | Steps: 10435
Episode: 24 | Reward: -114.70043932662337 | Polciy Loss: 5.506547927856445 | Steps: 11090
Episode: 25 | Reward: -139.6457174506416 | Polciy Loss: 10.900626182556152 | Steps: 11873
