C:\Users\vince\anaconda3\envs\csc2626\lib\site-packages\pyglet\image\codecs\wic.py:406: UserWarning: [WinError -2147417850] 无法在设置线程模式后对其加以更改。
  warnings.warn(str(err))
Episode: 1 | Reward: -411.5000961834557 | Polciy Loss: 0.21570709347724915 | Steps: 77
Episode: 2 | Reward: -578.304213979704 | Polciy Loss: 2.2476906776428223 | Steps: 261
Episode: 3 | Reward: -331.5015102798196 | Polciy Loss: 3.474303722381592 | Steps: 336
Episode: 4 | Reward: -280.94017288490494 | Polciy Loss: 6.0396294593811035 | Steps: 432
Episode: 5 | Reward: -421.6130797111833 | Polciy Loss: 6.3257856369018555 | Steps: 605
Episode: 6 | Reward: -364.6422606865892 | Polciy Loss: 9.445680618286133 | Steps: 757
Episode: 7 | Reward: -80.0203917844461 | Polciy Loss: 11.333478927612305 | Steps: 876
Episode: 8 | Reward: -257.3340028815354 | Polciy Loss: 12.617305755615234 | Steps: 1003
Episode: 9 | Reward: -115.74623290307953 | Polciy Loss: 11.972097396850586 | Steps: 1125
Episode: 10 | Reward: -53.754742478387406 | Polciy Loss: 21.061141967773438 | Steps: 2125
Episode: 11 | Reward: -144.51179893815393 | Polciy Loss: 20.041549682617188 | Steps: 2694
Episode: 12 | Reward: -103.9129342463824 | Polciy Loss: 12.804201126098633 | Steps: 3694
Episode: 13 | Reward: -106.2403070265697 | Polciy Loss: 13.148975372314453 | Steps: 4694
Episode: 14 | Reward: -84.67569192741067 | Polciy Loss: 13.315347671508789 | Steps: 5694
Episode: 15 | Reward: -129.10664128135247 | Polciy Loss: 8.294809341430664 | Steps: 6694
Episode: 16 | Reward: -129.46307463400794 | Polciy Loss: 7.784017562866211 | Steps: 7694
Episode: 17 | Reward: -114.69881690756367 | Polciy Loss: 4.452164649963379 | Steps: 8694
Episode: 18 | Reward: -129.65742330658435 | Polciy Loss: 4.8347883224487305 | Steps: 9694
Episode: 19 | Reward: -124.07366836005042 | Polciy Loss: 4.056665420532227 | Steps: 10694
Episode: 20 | Reward: -105.9803446332322 | Polciy Loss: 4.143592357635498 | Steps: 11694
Episode: 21 | Reward: -160.35896114606555 | Polciy Loss: 5.040810585021973 | Steps: 12694
Episode: 22 | Reward: -119.3966656705595 | Polciy Loss: 2.92384934425354 | Steps: 13694
Episode: 23 | Reward: -116.3553709551384 | Polciy Loss: 0.9627830982208252 | Steps: 14694
Episode: 24 | Reward: -108.51882286650228 | Polciy Loss: 5.608658313751221 | Steps: 15694
Episode: 25 | Reward: -137.44829539984974 | Polciy Loss: 6.297616958618164 | Steps: 16694
Episode: 26 | Reward: -145.61850067227078 | Polciy Loss: 7.358001232147217 | Steps: 17694
Episode: 27 | Reward: -112.50951533499162 | Polciy Loss: 0.9158804416656494 | Steps: 18694
Episode: 28 | Reward: -63.48828575741201 | Polciy Loss: 14.766849517822266 | Steps: 19694
Episode: 29 | Reward: -62.20941186868817 | Polciy Loss: 6.920958518981934 | Steps: 20694
Episode: 30 | Reward: -123.67735661972705 | Polciy Loss: 3.120614528656006 | Steps: 21694
Episode: 31 | Reward: -249.87639534275925 | Polciy Loss: 5.793174743652344 | Steps: 22432
Episode: 32 | Reward: -109.39820589944551 | Polciy Loss: 9.737960815429688 | Steps: 23432
Episode: 33 | Reward: -138.85906013824896 | Polciy Loss: 6.911622524261475 | Steps: 24432
Episode: 34 | Reward: -208.06145806059715 | Polciy Loss: 5.645486831665039 | Steps: 25247
Episode: 35 | Reward: -115.50134071180739 | Polciy Loss: 8.212841987609863 | Steps: 26247
Episode: 36 | Reward: 139.50843414442852 | Polciy Loss: 8.490460395812988 | Steps: 27180
Episode: 37 | Reward: -113.49443334633825 | Polciy Loss: 7.929758071899414 | Steps: 28180
Episode: 38 | Reward: 158.12320838214936 | Polciy Loss: 11.43463134765625 | Steps: 28925
Episode: 39 | Reward: -88.63722854808022 | Polciy Loss: 10.363158226013184 | Steps: 29925
Episode: 40 | Reward: -110.36056689419581 | Polciy Loss: 11.633546829223633 | Steps: 30925
Episode: 41 | Reward: -139.19838244333891 | Polciy Loss: 10.366388320922852 | Steps: 31630
Episode: 42 | Reward: -247.1408937124858 | Polciy Loss: 12.251751899719238 | Steps: 32495
Episode: 43 | Reward: -79.01802931344949 | Polciy Loss: 14.83767318725586 | Steps: 33495
Episode: 44 | Reward: -112.44568274362456 | Polciy Loss: 16.381114959716797 | Steps: 34246
Episode: 45 | Reward: -100.45533257457454 | Polciy Loss: 23.783397674560547 | Steps: 35246
Episode: 46 | Reward: -73.13542508883825 | Polciy Loss: 13.519866943359375 | Steps: 36246
Episode: 47 | Reward: -90.15743034985942 | Polciy Loss: 15.817098617553711 | Steps: 36786
Episode: 48 | Reward: -92.35423816653108 | Polciy Loss: 16.597599029541016 | Steps: 37786
Episode: 49 | Reward: -153.02799144788403 | Polciy Loss: 13.256187438964844 | Steps: 38631
Episode: 50 | Reward: 52.90080449230642 | Polciy Loss: 13.281843185424805 | Steps: 39475
