
Episode: 1 | Reward: 163.47519020087356 | Polciy Loss: -33.172847747802734 | Batches: 1954
Episode: 2 | Reward: -554.0505095085884 | Polciy Loss: -54.06779479980469 | Batches: 3908
Episode: 3 | Reward: -109.67526489772948 | Polciy Loss: -75.24270629882812 | Batches: 5862
Episode: 4 | Reward: -409.9992916732919 | Polciy Loss: -99.61618041992188 | Batches: 7816
Episode: 5 | Reward: -565.3944249146776 | Polciy Loss: -121.71288299560547 | Batches: 9770
Episode: 6 | Reward: -646.8353973266434 | Polciy Loss: -136.94305419921875 | Batches: 11724
Episode: 7 | Reward: -295.65934429921094 | Polciy Loss: -150.16098022460938 | Batches: 13678
Episode: 8 | Reward: -168.3067820635271 | Polciy Loss: -159.2066192626953 | Batches: 15632
Episode: 9 | Reward: -249.84967217411946 | Polciy Loss: -172.7604522705078 | Batches: 17586
Episode: 10 | Reward: -198.01586798779502 | Polciy Loss: -172.73159790039062 | Batches: 19540
Episode: 11 | Reward: -240.68833157128302 | Polciy Loss: -183.7628173828125 | Batches: 21494
Episode: 12 | Reward: -35.92383225720551 | Polciy Loss: -185.18740844726562 | Batches: 23448
Episode: 13 | Reward: -141.94754615710306 | Polciy Loss: -190.44281005859375 | Batches: 25402
Episode: 14 | Reward: -213.22984030792495 | Polciy Loss: -189.7682342529297 | Batches: 27356
Episode: 15 | Reward: 58.21996668488131 | Polciy Loss: -195.35861206054688 | Batches: 29310
Episode: 16 | Reward: 415.7681654984016 | Polciy Loss: -197.94357299804688 | Batches: 31264
Episode: 17 | Reward: 380.8767208696989 | Polciy Loss: -202.05909729003906 | Batches: 33218
Episode: 18 | Reward: 282.58291158500435 | Polciy Loss: -199.91827392578125 | Batches: 35172
Episode: 19 | Reward: 117.80723904295269 | Polciy Loss: -203.1847686767578 | Batches: 37126
Episode: 20 | Reward: 695.0446860531574 | Polciy Loss: -201.03614807128906 | Batches: 39080
Episode: 21 | Reward: 324.63918292230653 | Polciy Loss: -199.1672821044922 | Batches: 41034
