Creating window glfw
Episode: 1 | Reward: -4.574116024964647 | Polciy Loss: -4.253356456756592 | Steps: 15
Episode: 2 | Reward: 8.024755224526388 | Polciy Loss: -7.340062141418457 | Steps: 41
Episode: 3 | Reward: 1.492783249359074 | Polciy Loss: -7.273155212402344 | Steps: 53
Episode: 4 | Reward: 4.49638874654794 | Polciy Loss: -7.581860542297363 | Steps: 81
Episode: 5 | Reward: 14.603351560147214 | Polciy Loss: -7.8219499588012695 | Steps: 112
Episode: 6 | Reward: -2.7780346825484616 | Polciy Loss: -8.210075378417969 | Steps: 136
Episode: 7 | Reward: 6.695848060508563 | Polciy Loss: -8.159918785095215 | Steps: 155
Episode: 8 | Reward: 3.675763627207565 | Polciy Loss: -8.429031372070312 | Steps: 170
Episode: 9 | Reward: 4.139261248186122 | Polciy Loss: -8.687015533447266 | Steps: 196
Episode: 10 | Reward: -3.348513513661751 | Polciy Loss: -8.827892303466797 | Steps: 221
Episode: 11 | Reward: 1.8347461537467114 | Polciy Loss: -8.9340238571167 | Steps: 232
Episode: 12 | Reward: -1.5916184011268193 | Polciy Loss: -9.198476791381836 | Steps: 253
Episode: 13 | Reward: 12.469428931569103 | Polciy Loss: -9.37075424194336 | Steps: 276
Episode: 14 | Reward: 17.13639266022873 | Polciy Loss: -9.503963470458984 | Steps: 308
Episode: 15 | Reward: -6.814858922655035 | Polciy Loss: -9.893973350524902 | Steps: 330
Episode: 16 | Reward: 6.867835973511784 | Polciy Loss: -10.187971115112305 | Steps: 369
Episode: 17 | Reward: 6.735571825925471 | Polciy Loss: -10.463133811950684 | Steps: 395
Episode: 18 | Reward: -0.8453692762919776 | Polciy Loss: -10.887272834777832 | Steps: 442
Episode: 19 | Reward: -5.053224082611958 | Polciy Loss: -11.054994583129883 | Steps: 465
Episode: 20 | Reward: -1.6524519818193624 | Polciy Loss: -11.03519058227539 | Steps: 491
Episode: 21 | Reward: 3.871012263552784 | Polciy Loss: -11.469331741333008 | Steps: 515
Episode: 22 | Reward: 13.418344905905553 | Polciy Loss: -11.820411682128906 | Steps: 555
Episode: 23 | Reward: 13.555484654082713 | Polciy Loss: -12.38968563079834 | Steps: 609
Episode: 24 | Reward: 2.9107891162509274 | Polciy Loss: -12.853679656982422 | Steps: 626
Episode: 25 | Reward: 7.372394978530836 | Polciy Loss: -13.17354965209961 | Steps: 659
Episode: 26 | Reward: 5.991568156185732 | Polciy Loss: -13.484811782836914 | Steps: 690
Episode: 27 | Reward: -1.968715153453134 | Polciy Loss: -13.810298919677734 | Steps: 729
Episode: 28 | Reward: 1.1698831412960715 | Polciy Loss: -14.326079368591309 | Steps: 768
Episode: 29 | Reward: 11.340772551333883 | Polciy Loss: -14.603997230529785 | Steps: 806
Episode: 30 | Reward: 24.252576121801862 | Polciy Loss: -14.973438262939453 | Steps: 876
Episode: 31 | Reward: -0.3118491479365799 | Polciy Loss: -15.963027000427246 | Steps: 955
Episode: 32 | Reward: -5.508509384871941 | Polciy Loss: -16.382394790649414 | Steps: 1009
Episode: 33 | Reward: 9.583384954170521 | Polciy Loss: -16.97530746459961 | Steps: 1034
Episode: 34 | Reward: 2.181416313457406 | Polciy Loss: -17.30406379699707 | Steps: 1084
Episode: 35 | Reward: 11.384130546592598 | Polciy Loss: -17.95155143737793 | Steps: 1165
Episode: 36 | Reward: -21.918401605575212 | Polciy Loss: -18.915773391723633 | Steps: 1250
Episode: 37 | Reward: 36.261099515857524 | Polciy Loss: -19.647550582885742 | Steps: 1313
Episode: 38 | Reward: 5.416719820815971 | Polciy Loss: -19.000301361083984 | Steps: 1393
Episode: 39 | Reward: 13.269091058026422 | Polciy Loss: -20.32973289489746 | Steps: 1443
Episode: 40 | Reward: -16.428118889309914 | Polciy Loss: -20.868104934692383 | Steps: 1538
Episode: 41 | Reward: 9.544529971617996 | Polciy Loss: -20.915496826171875 | Steps: 1611
Episode: 42 | Reward: -7.999875902003977 | Polciy Loss: -23.153467178344727 | Steps: 1729
Episode: 43 | Reward: -35.26771104462506 | Polciy Loss: -23.700149536132812 | Steps: 1844
Episode: 44 | Reward: -22.950088742013396 | Polciy Loss: -25.120933532714844 | Steps: 1956
Episode: 45 | Reward: 7.601022223161219 | Polciy Loss: -26.283172607421875 | Steps: 2088
Episode: 46 | Reward: 52.9028031439406 | Polciy Loss: -28.238325119018555 | Steps: 2320
Episode: 47 | Reward: 14.336111452107179 | Polciy Loss: -29.088682174682617 | Steps: 2468
Episode: 48 | Reward: -3.981730678325551 | Polciy Loss: -29.652847290039062 | Steps: 2606
Episode: 49 | Reward: 248.27255665307626 | Polciy Loss: -30.647327423095703 | Steps: 2744
Episode: 50 | Reward: 283.6103864438097 | Polciy Loss: -33.08917236328125 | Steps: 2900
