
Episode: 1 | Reward: -28.35601202877668 | Polciy Loss: -34.22482681274414 | Batches: 1952
Episode: 2 | Reward: -433.7417159711323 | Polciy Loss: -54.4642219543457 | Batches: 3904
Episode: 3 | Reward: -300.7192291311805 | Polciy Loss: -75.52079772949219 | Batches: 5856
Episode: 4 | Reward: -356.5282600245665 | Polciy Loss: -96.74030303955078 | Batches: 7808
Episode: 5 | Reward: -275.58904442525755 | Polciy Loss: -118.82792663574219 | Batches: 9760
Episode: 6 | Reward: -485.2669673753361 | Polciy Loss: -134.19158935546875 | Batches: 11712
Episode: 7 | Reward: -521.6132337908787 | Polciy Loss: -151.25604248046875 | Batches: 13664
Episode: 8 | Reward: -533.4385375229551 | Polciy Loss: -160.55923461914062 | Batches: 15616
Episode: 9 | Reward: -358.6291379483572 | Polciy Loss: -169.5941619873047 | Batches: 17568
Episode: 10 | Reward: -406.0966024264991 | Polciy Loss: -174.31048583984375 | Batches: 19520
Episode: 11 | Reward: -85.9850613328421 | Polciy Loss: -179.41087341308594 | Batches: 21472
Episode: 12 | Reward: 36.78264771880664 | Polciy Loss: -188.76278686523438 | Batches: 23424
Episode: 13 | Reward: -52.37714763026402 | Polciy Loss: -187.49273681640625 | Batches: 25376
Episode: 14 | Reward: -74.00377669105687 | Polciy Loss: -193.4347686767578 | Batches: 27328
Episode: 15 | Reward: 111.70574789319986 | Polciy Loss: -201.55706787109375 | Batches: 29280
Episode: 16 | Reward: 387.938409788151 | Polciy Loss: -203.98916625976562 | Batches: 31232
Episode: 17 | Reward: -213.02885336701183 | Polciy Loss: -204.8036651611328 | Batches: 33184
Episode: 18 | Reward: 1152.220201680137 | Polciy Loss: -205.70921325683594 | Batches: 35136
Episode: 19 | Reward: 152.61234185315374 | Polciy Loss: -202.24252319335938 | Batches: 37088
Episode: 20 | Reward: 1102.099368655538 | Polciy Loss: -206.58447265625 | Batches: 39040
Episode: 21 | Reward: 553.6794326171674 | Polciy Loss: -204.5517120361328 | Batches: 40992
Episode: 22 | Reward: 459.3697567156707 | Polciy Loss: -207.71942138671875 | Batches: 42944
Episode: 23 | Reward: 524.2796820741154 | Polciy Loss: -208.64956665039062 | Batches: 44896
